topic_id,intent,initial_request,questions1,answers1,question2,answer2,question3,answer3,learning_outcome,career_future
1,management,I am interested in management  ,Are you interested in software management,"No, I am more interested in project management.",Which management are you interested in,I am asking this because I want to know about management that is related to computer science.,Have you had any previous management experience,"Yes, I've managed teams in previous roles.","[Management of Software Projects, Group Project, Project Management for Information Systems, Agile Project Management, Knowledge Management]","[Project Manager, Business Analytic, IT Manager]"
2,data analysis,I want to learn more about data analysis,What level of data analysis skills do you currently have,I am a beginner with some basic knowledge.,Are you interested in data science or data engineering,I am more interested in data science and predictive analytics.,Do you have a specific industry in mind for data analysis,I am interested in healthcare analytics and medical research.,"[Data Analytics, Data Wrangling, Artificial Intelligence, Data Management and Processing]","[Data Analytic, Software Support Analysts, Systems analysis, Data engineering]"
3,cybersecurity,How do I start a career in cybersecurity,Do you have any programming experience,"Yes, I have coding skills in Python and Java.",Have you completed any cybersecurity certifications,"No, but I am interested in pursuing certifications.",Are you interested in offensive or defensive cybersecurity,I am interested in defensive cybersecurity and risk management.,"[Networked Services, Network Security and Cryptography, OS Forensics, Security Systems for loT, Security Testing and Advanced Network Forensics, Scripting for Cybersecurity and Forensics]","[Security Consultant, Test/Debug Engineer, Forensic Engineer, Security Auditor, Web Server Support, Digital Forensic Specialist]"
4,software engineering,I am considering a career in software engineering,What aspect of software engineering interests you,I am passionate about creating user-friendly interfaces.,Have you contributed to any open-source projects,"Yes, I've made contributions to several GitHub repositories.",Are you interested in frontend or backend development,I am more interested in backend development and database design.,"[Foundations of Software Design & Development, Secure Software Development, Software Architecture, Web Technologies, Software Design & Development, Software Engineering, Database System, Software Engineering Methods]","[Software Engineer, Software Support Analysts, Software Developer, Software Tester, Web Developer]"
5,cloud computing,Tell me about cloud computing careers,Are you familiar with cloud infrastructure services,"Yes, I have experience with AWS and Google Cloud Platform.",What role do you see yourself in within cloud computing,I aspire to become a cloud solutions architect.,Have you worked with any cloud-native technologies,"Yes, I've deployed applications on Kubernetes clusters.","[Database System, Programming Fundamentals, Artificial Intelligence, Systems and Services]","[Cloud administrator, Cloud support engineer]"
6,artificial intelligence,I am exploring career options in artificial intelligence,What programming languages do you know,I am proficient in Python and have some experience with TensorFlow and PyTorch.,Have you worked on any AI projects before,"Yes, I've developed a chatbot and a recommendation system as part of my coursework.",What area of AI are you most interested in,I am fascinated by machine learning and natural language processing.,"[Algorithms and Data Structures, Artificial Intelligence , Data Wrangling, Data Analytics, Computing in Contemporary Society, Emergent Computing for Optimisation, Multi-Agent Systems]","[AI Research Scientist, Machine Learning Engineer, Data Scientist, Natural Language Processing (NLP) Engineer]"
7,software development,How do I transition into a career in DevOps?,Do you have experience with software development,"Yes, I have experience as a software developer.",Have you worked with any CI or CD tools before,"No, but I am eager to learn about Jenkins and Docker.",Are you interested in automation and infrastructure management,"Yes, I am excited about streamlining software delivery processes.","[Programming Fundamentals, Database Systems, Object-Oriented Software Development, Software Engineering, Secure Software Development, Software Architecture]","[Software Engineer, Project Manager, Software Support Analysts, Software Developer, Software Tester]"
8,database,I want to specialize in database administration,What database technologies are you familiar with,I have experience with MySQL and MongoDB.,Have you managed database systems in previous roles,"Yes, I've administered databases for a few projects.",Are you interested in relational or NoSQL databases,I am more interested in NoSQL databases and big data technologies.,"[Database Systems, Advanced Database Systems, Foundations of Software Design and Development, Data Analytics, Data Wrangling, Algorithms and Data Structures]","[Database Administrator, Data Architect, Database Developer, Data Engineer, Data Governance Specialist]"
9,machine learning,Tell me about career opportunities in machine learning,What's your background in mathematics and statistics,I have a strong background in mathematics and statistics.,Have you worked on any machine learning projects,"Yes, I've developed predictive models for financial forecasting.",Are you interested in research or applied machine learning,"I am interested in both, but I am leaning towards applied ML in industry.","[Data Wrangling, Artificial Intelligence, Applied Machine Learning, Emergent Computing for Optimisation]","[Data Scientist, Robotics Engineer, Deep Learning Engineer, Machine Learning Engineer]"
10,ui ux,How do I become a UX/UI designer,What design tools are you familiar with,I am proficient in Adobe XD and Sketch.,Have you created any wireframes or prototypes before,"Yes, I've designed wireframes for mobile apps and websites.",Are you interested in user research or visual design,I am passionate about creating intuitive user experiences.,"[Practical Interaction Design, Playful Interaction, Information & Interaction, Responsive Environment, Scripting for Interactive Media, User-Centred Organisational Systems, Technoculture & Society]","[User Experience (UX) Designer, User Experience (UX) Developer, Creative Technologist, Front-end Designer, Usability Designer, Game Designer/Developer, Mobile/Wearable App Designer/Developer, Web Designer/Developer, UX Researcher/Design Researcher]"
11,data engineering,What are the career prospects for data engineering,Do you have experience with data pipeline tools?,"Yes, I've worked with Apache Spark and Apache Kafka.",Have you built any ETL processes or data warehouses?,"Yes, I've developed ETL pipelines for processing large datasets.",Are you interested in relational or NoSQL databases?,I am more interested in NoSQL databases and big data technologies.,"[Fundamentals of Machine Learning, Algorithms and Data Structures, Data Analytics, Artificial IntelligenceAdvanced Machine Learning, Data Management and Processing, Computational Intelligence, Data Wrangling]","[Data science, Software development, Data analysis, Systems analysis, Data engineering, Machine learning engineering, Machine learning scientist, Statistician]"
12,mobile app development,What career paths are available in mobile app development,What mobile platforms are you interested in?,I am interested in both iOS and Android development.,Do you have experience with mobile app development?,"Yes, I've built apps for iOS and Android platforms.",Are you interested in front-end or back-end development?,I am interested in front-end development for mobile applications.,"[Foundations of Software Design and Development, Mobile Applications Development, Software Engineering, Object Oriented Software Development Computer Systems, Games Engineering, Fundamentals of Parallel Systems]","[iOS Developer, Android Developer, Mobile Game Developer, Mobile App Architect, Cross-Platform Developer]"
13,product management,How can I transition from software engineering to product management,Have you worked closely with product teams before?,"Yes, I've collaborated with product managers on feature development.",What aspects of product management appeal to you?,I am interested in defining product roadmaps and prioritizing features.,Are you interested in technical or business aspects of product management?,"I am interested in both, but I lean towards the business side.","[Programming Fundamentals, Data Wrangling, Artificial Intelligence, Agile Project Management, Data Analysis, Business Intelligence]","[AI Product Manager, E-commerce Product Manager, Technology Product Manager, Smart City Product Manager]"
